ID,datetime,temperature,var1,pressure,windspeed,var2,electricity_consumption
67,03/07/13 19:00,-7.1,-14.3,996,3.405,A,486
68,03/07/13 20:00,-9.3,-15,1000,3.92,A,519
69,03/07/13 21:00,-10,-15.7,1001,2.2,A,447
70,03/07/13 22:00,-9.3,-13.6,998,2.59,A,474
71,03/07/13 23:00,-10.7,-15,1009,2.79,A,459
72,04/07/13 0:00,-12.1,-12.1,993,3.43,A,462
73,04/07/13 1:00,-10.7,-12.9,998,1.45,A,504
74,04/07/13 2:00,-11.4,-15.7,996,4.755,A,384
75,04/07/13 3:00,-9.3,-15,994,6.045,A,342
76,04/07/13 4:00,-12.9,-15.7,993,6.935,A,276
77,04/07/13 5:00,-12.1,-12.9,997,8.975,A,261
78,04/07/13 6:00,-12.1,-14.3,997,11.14,A,273
79,04/07/13 7:00,-10.7,-14.3,1000,2.39,A,279
80,04/07/13 8:00,-12.9,-15,1001,3.165,A,240
81,04/07/13 9:00,-10,-12.1,996,2.915,A,273
82,04/07/13 10:00,-7.9,-12.9,995,2.39,A,276
83,04/07/13 11:00,-7.1,-12.9,998,2.53,A,312
84,04/07/13 12:00,-6.4,-14.3,996,3.67,A,294
85,04/07/13 13:00,-4.3,-11.4,1005,5.435,A,288
86,04/07/13 14:00,-3.6,-12.9,993,5.005,A,300
87,04/07/13 15:00,-2.9,-13.6,1000,10.815,A,303
88,04/07/13 16:00,-3.6,-15.7,987,14.86,A,255
89,04/07/13 17:00,-4.3,-15,1004,22.635,A,279
90,04/07/13 18:00,-2.9,-15,986,29.935,A,270
91,04/07/13 19:00,-4.3,-13.6,1002,36.96,A,252
92,04/07/13 20:00,-6.4,-16.4,993,45.11,A,273
93,04/07/13 21:00,-4.3,-15,994,52.66,A,231
94,04/07/13 22:00,-6.4,-17.9,1000,59.435,A,246
95,04/07/13 23:00,-5.7,-15,1008,68.235,A,231
96,05/07/13 0:00,-8.6,-15.7,993,77.425,A,228
97,05/07/13 1:00,-6.4,-16.4,997,86.255,A,210
98,05/07/13 2:00,-7.9,-18.6,991,95.96,A,213
99,05/07/13 3:00,-7.9,-17.9,991,105.9,A,213
100,05/07/13 4:00,-7.9,-17.9,1009,114.09,A,231
101,05/07/13 5:00,-8.6,-18.6,1001,124.795,A,225
102,05/07/13 6:00,-10,-17.1,996,130.82,A,210
103,05/07/13 7:00,-10.7,-19.3,1011,138.72,A,201
104,05/07/13 8:00,-7.9,-17.9,1005,147.285,A,213
105,05/07/13 9:00,-10,-17.1,1011,156.475,A,204
106,05/07/13 10:00,-9.3,-19.3,996,165.79,A,204
107,05/07/13 11:00,-7.1,-18.6,1004,174.355,A,204
108,05/07/13 12:00,-7.9,-19.3,1003,184.185,A,198
109,05/07/13 13:00,-6.4,-19.3,1003,193.5,A,210
110,05/07/13 14:00,-5,-17.1,993,201.675,A,186
111,05/07/13 15:00,-4.3,-15.7,993,210.615,A,192
112,05/07/13 16:00,-6.4,-16.4,992,219.32,A,207
113,05/07/13 17:00,-5.7,-17.1,1002,228.51,A,207
114,05/07/13 18:00,-6.4,-17.9,1010,236.435,A,180
115,05/07/13 19:00,-7.1,-15,1010,245.485,A,192
116,05/07/13 20:00,-6.4,-17.9,1005,253.3,A,192
117,05/07/13 21:00,-6.4,-17.1,1014,260.95,A,192
118,05/07/13 22:00,-7.1,-17.9,1002,268.1,A,231
119,05/07/13 23:00,-8.6,-18.6,1014,275.775,A,210
120,06/07/13 0:00,-7.9,-17.1,1012,283.825,A,210
121,06/07/13 1:00,-7.9,-18.6,1002,289.51,A,204
122,06/07/13 2:00,-10,-19.3,1005,296.445,A,213
123,06/07/13 3:00,-8.6,-16.4,1012,303.995,A,204
124,06/07/13 4:00,-9.3,-17.1,1017,309.165,A,207
125,06/07/13 5:00,-10.7,-18.6,1007,314.085,A,186
126,06/07/13 6:00,-9.3,-17.9,1001,319.005,A,186
127,06/07/13 7:00,-9.3,-18.6,1011,322.775,A,207
128,06/07/13 8:00,-10,-19.3,1017,327.17,A,192
129,06/07/13 9:00,-7.1,-17.1,1009,334.195,A,195
130,06/07/13 10:00,-7.1,-17.1,1013,343.135,A,186
131,06/07/13 11:00,-5.7,-17.1,1014,351.825,A,201
132,06/07/13 12:00,-4.3,-17.1,1014,360.89,A,192
133,06/07/13 13:00,-4.3,-15.7,1007,368.955,A,216
134,06/07/13 14:00,-3.6,-15.7,1013,379.02,A,204
135,06/07/13 15:00,-4.3,-17.1,1009,386.195,A,204
136,06/07/13 16:00,-6.4,-17.1,999,393.345,A,186
137,06/07/13 17:00,-4.3,-15.7,1006,401.37,A,222
138,06/07/13 18:00,-5.7,-16.4,1013,407.645,A,195
139,06/07/13 19:00,-5,-17.9,1011,414.455,A,201
140,06/07/13 20:00,-6.4,-14.3,1013,419.375,A,213
141,06/07/13 21:00,-9.3,-17.1,1002,423.42,A,198
142,06/07/13 22:00,-7.9,-15,998,426.175,A,231
143,06/07/13 23:00,-9.3,-15,1005,431.32,A,213
144,07/07/13 0:00,-7.1,-17.1,1010,434.45,A,201
145,07/07/13 1:00,-8.6,-15.7,1001,438.62,A,195
146,07/07/13 2:00,-10,-17.9,1003,443.015,A,201
147,07/07/13 3:00,-10,-15,1001,447.535,A,210
148,07/07/13 4:00,-10,-15,998,5.395,A,204
149,07/07/13 5:00,-12.9,-17.9,996,5.645,A,192
150,07/07/13 6:00,-12.9,-18.6,1010,9.025,A,213
151,07/07/13 7:00,-11.4,-18.6,1007,12.03,A,216
152,07/07/13 8:00,-10,-18.6,1003,15.16,A,228
153,07/07/13 9:00,-7.1,-15.7,996,19.055,A,225
154,07/07/13 10:00,-7.9,-17.9,1000,23.725,A,234
155,07/07/13 11:00,-5.7,-17.9,1008,26.605,A,231
156,07/07/13 12:00,-5,-14.3,998,28.02,A,240
157,07/07/13 13:00,-5,-15,996,2.515,A,261
158,07/07/13 14:00,-3.6,-17.9,1000,3.68,A,258
159,07/07/13 15:00,-2.1,-14.3,997,2.915,A,270
160,07/07/13 16:00,-5,-17.9,995,6.17,A,270
161,07/07/13 17:00,-5,-15.7,994,8.8,A,237
162,07/07/13 18:00,-5,-16.4,992,13.695,A,270
163,07/07/13 19:00,-5.7,-16.4,988,15.825,A,270
164,07/07/13 20:00,-5,-13.6,1003,19.205,A,273
165,07/07/13 21:00,-7.1,-17.1,986,20.22,A,294
166,07/07/13 22:00,-7.9,-12.9,989,2.765,A,282
167,07/07/13 23:00,-7.9,-15,997,3.28,A,306
168,08/07/13 0:00,-9.3,-14.3,1001,2.015,A,330
169,08/07/13 1:00,-7.9,-13.6,998,3.305,A,348
170,08/07/13 2:00,-9.3,-14.3,1000,2.64,A,384
171,08/07/13 3:00,-10,-12.1,997,2.64,A,372
172,08/07/13 4:00,-8.6,-15.7,1001,3.555,A,378
173,08/07/13 5:00,-7.9,-14.3,985,6.435,A,405
174,08/07/13 6:00,-7.1,-14.3,987,10.19,A,342
175,08/07/13 7:00,-6.4,-13.6,993,14.735,A,279
176,08/07/13 8:00,-7.1,-15,994,20.03,A,228
177,08/07/13 9:00,-7.1,-15,994,27.68,A,207
178,08/07/13 10:00,-5,-14.3,1006,36.12,A,189
179,08/07/13 11:00,-5,-14.3,1001,46.8,A,213
180,08/07/13 12:00,-5,-15.7,1007,56.115,A,201
181,08/07/13 13:00,-4.3,-16.4,994,64.555,A,210
182,08/07/13 14:00,-4.3,-16.4,1003,75.26,A,210
183,08/07/13 15:00,-5.7,-15.7,994,84.965,A,189
184,08/07/13 16:00,-5,-17.1,994,94.795,A,213
185,08/07/13 17:00,-5,-14.3,1004,102.97,A,210
186,08/07/13 18:00,-5,-16.4,1007,112.3,A,222
187,08/07/13 19:00,-5.7,-17.9,1003,122.255,A,204
188,08/07/13 20:00,-5,-18.6,994,139.745,A,204
189,08/07/13 21:00,-7.9,-17.9,1003,152.08,A,222
190,08/07/13 22:00,-7.9,-19.3,1003,161.535,A,222
191,08/07/13 23:00,-8.6,-20.7,1000,173.855,A,216
192,09/07/13 0:00,-9.3,-17.1,998,184.91,A,201
193,09/07/13 1:00,-9.3,-20,1011,198.37,A,195
194,09/07/13 2:00,-10,-18.6,997,210.69,A,213
195,09/07/13 3:00,-8.6,-18.6,1001,221.87,A,201
196,09/07/13 4:00,-10.7,-20,1003,231.075,A,216
197,09/07/13 5:00,-10,-20.7,1003,244.02,A,201
198,09/07/13 6:00,-10.7,-17.9,998,251.695,A,195
199,09/07/13 7:00,-10.7,-21.4,1012,257.38,A,201
200,09/07/13 8:00,-10,-17.1,1004,262.025,A,195
201,09/07/13 9:00,-8.6,-17.9,1003,269.95,A,210
202,09/07/13 10:00,-7.1,-21.4,1004,278.265,A,198
203,09/07/13 11:00,-6.4,-21.4,1008,286.955,A,198
204,09/07/13 12:00,-7.1,-19.3,1018,296.395,A,222
205,09/07/13 13:00,-5.7,-20.7,1010,305.71,A,222
206,09/07/13 14:00,-5.7,-20,1008,313.9,A,189
207,09/07/13 15:00,-6.4,-18.6,996,322.825,A,204
208,09/07/13 16:00,-5.7,-18.6,1013,328.975,A,213
209,09/07/13 17:00,-6.4,-16.4,1007,336.375,A,210
210,09/07/13 18:00,-6.4,-20.7,1003,342.685,A,210
211,09/07/13 19:00,-6.4,-17.1,1003,346.73,A,222
212,09/07/13 20:00,-7.9,-20,1004,352.775,A,213
213,09/07/13 21:00,-6.4,-19.3,999,356.17,A,222
214,09/07/13 22:00,-8.6,-17.1,1011,359.55,A,195
215,09/07/13 23:00,-8.6,-20,1003,363.32,A,192
216,10/07/13 0:00,-7.9,-18.6,1002,370.095,A,210
217,10/07/13 1:00,-7.9,-20,994,377.245,A,204
218,10/07/13 2:00,-8.6,-16.4,1013,382.805,A,204
219,10/07/13 3:00,-7.9,-16.4,1004,391.745,A,222
220,10/07/13 4:00,-7.9,-20,1006,399.645,A,219
221,10/07/13 5:00,-7.9,-17.9,1012,404.94,A,204
222,10/07/13 6:00,-11.4,-19.3,997,2.14,A,222
223,10/07/13 7:00,-11.4,-20.7,1012,4.505,A,195
224,10/07/13 8:00,-12.1,-20,1009,5.645,A,201
225,10/07/13 9:00,-10,-17.1,1000,9.04,A,198
226,10/07/13 10:00,-7.9,-17.1,1003,6.67,A,189
227,10/07/13 11:00,-5.7,-17.9,997,5.795,A,222
228,10/07/13 12:00,-6.4,-17.1,997,9.175,A,210
229,10/07/13 13:00,-3.6,-15.7,997,14.735,A,216
230,10/07/13 14:00,-3.6,-20,999,22.635,A,207
231,10/07/13 15:00,-5,-20.7,997,30.035,A,198
232,10/07/13 16:00,-2.9,-17.1,990,33.83,A,234
233,10/07/13 17:00,-4.3,-15.7,989,5.27,A,240
234,10/07/13 18:00,-7.1,-15.7,987,4.505,A,261
235,10/07/13 19:00,-7.1,-16.4,985,8.01,A,252
236,10/07/13 20:00,-6.4,-17.9,1001,12.43,A,285
237,10/07/13 21:00,-6.4,-15.7,991,15.825,A,327
238,10/07/13 22:00,-6.4,-19.3,983,19.83,A,315
239,10/07/13 23:00,-9.3,-17.1,993,2.265,A,315
240,11/07/13 0:00,-10,-16.4,997,3.28,A,309
241,11/07/13 1:00,-4.3,-15.7,984,5.545,A,264
242,11/07/13 2:00,-7.1,-16.4,992,8.335,A,216
243,11/07/13 3:00,-10,-16.4,992,9.5,A,234
244,11/07/13 4:00,-8.6,-18.6,991,2.79,A,213
245,11/07/13 5:00,-7.1,-18.6,984,8.675,A,198
246,11/07/13 6:00,-7.9,-17.9,1000,14.735,A,210
247,11/07/13 7:00,-7.9,-19.3,983,20.545,A,186
248,11/07/13 8:00,-8.6,-17.9,999,26.605,A,189
249,11/07/13 9:00,-7.9,-17.1,998,34.28,A,204
250,11/07/13 10:00,-5.7,-17.9,994,42.455,A,204
251,11/07/13 11:00,-5,-15.7,997,50.755,A,216
252,11/07/13 12:00,-4.3,-15.7,1004,58.405,A,201
253,11/07/13 13:00,-3.6,-20,997,65.705,A,210
254,11/07/13 14:00,-5.7,-17.9,995,72.98,A,195
255,11/07/13 15:00,-4.3,-17.1,985,81.67,A,204
256,11/07/13 16:00,-5.7,-19.3,1000,90.47,A,204
257,11/07/13 17:00,-6.4,-17.1,985,96.405,A,198
258,11/07/13 18:00,-6.4,-20.7,1001,101.325,A,216
259,11/07/13 19:00,-6.4,-18.6,984,107.975,A,219
260,11/07/13 20:00,-7.1,-17.9,1004,2.015,A,192
261,11/07/13 21:00,-7.9,-20.7,990,4.77,A,201
262,11/07/13 22:00,-7.9,-20,996,2.265,A,246
263,11/07/13 23:00,-9.3,-20.7,990,2.905,A,246
264,12/07/13 0:00,-9.3,-19.3,1001,2.54,A,249
265,12/07/13 1:00,-8.6,-20,1002,5.205,A,204
266,12/07/13 2:00,-10.7,-18.6,985,6.37,A,228
267,12/07/13 3:00,-10.7,-17.1,985,2.265,A,228
268,12/07/13 4:00,-10.7,-16.4,1003,4.88,A,222
269,12/07/13 5:00,-10,-17.1,987,5.545,A,231
270,12/07/13 6:00,-14.3,-20.7,999,9.425,A,258
271,12/07/13 7:00,-13.6,-17.1,994,9.565,A,243
272,12/07/13 8:00,-12.9,-17.9,997,2.64,A,252
273,12/07/13 9:00,-10,-15.7,996,2.54,A,288
274,12/07/13 10:00,-7.9,-17.9,1001,4.455,A,276
275,12/07/13 11:00,-7.9,-15.7,1002,6.245,A,294
276,12/07/13 12:00,-3.6,-15.7,996,2.39,A,276
277,12/07/13 13:00,-2.9,-18.6,984,2.53,A,264
278,12/07/13 14:00,-3.6,-18.6,1001,4.895,A,294
279,12/07/13 15:00,-2.9,-17.1,993,8.15,A,267
280,12/07/13 16:00,-3.6,-17.9,995,11.405,A,306
281,12/07/13 17:00,-6.4,-16.4,1002,12.945,A,228
282,12/07/13 18:00,-5,-16.4,982,16.075,A,267
283,12/07/13 19:00,-8.6,-15.7,988,16.965,A,258
284,12/07/13 20:00,-7.9,-17.9,983,2.015,A,258
285,12/07/13 21:00,-9.3,-18.6,997,2.64,A,294
286,12/07/13 22:00,-8.6,-14.3,983,2.14,A,321
287,12/07/13 23:00,-11.4,-18.6,994,2.905,A,348
288,13/07/13 0:00,-10.7,-15.7,994,2.015,A,360
289,13/07/13 1:00,-10.7,-19.3,998,3.54,A,498
290,13/07/13 2:00,-11.4,-19.3,984,3.29,A,468
291,13/07/13 3:00,-12.1,-17.9,986,6.42,A,432
292,13/07/13 4:00,-10.7,-16.4,991,7.71,A,369
293,13/07/13 5:00,-11.4,-15,985,9.225,A,342
294,13/07/13 6:00,-10.7,-15,988,10.89,A,366
295,13/07/13 7:00,-12.1,-15.7,997,13.27,A,354
296,13/07/13 8:00,-10.7,-16.4,986,1.89,A,372
297,13/07/13 9:00,-10,-16.4,994,3.29,A,366
298,13/07/13 10:00,-5.7,-16.4,984,1.515,A,327
299,13/07/13 11:00,-5.7,-15.7,998,3.53,A,333
300,13/07/13 12:00,-2.9,-18.6,998,3.795,A,309
301,13/07/13 13:00,-2.1,-18.6,985,6.685,A,264
302,13/07/13 14:00,-0.7,-19.3,986,17.265,A,255
303,13/07/13 15:00,-1.4,-20,994,25.705,A,264
304,13/07/13 16:00,-1.4,-18.6,989,32.98,A,282
305,13/07/13 17:00,-3.6,-17.9,984,5.02,A,258
306,13/07/13 18:00,-3.6,-15.7,998,5.77,A,243
307,13/07/13 19:00,-4.3,-17.9,990,7.06,A,270
308,13/07/13 20:00,-5.7,-15,989,1.89,A,303
309,13/07/13 21:00,-7.9,-15.7,988,5.77,A,318
310,13/07/13 22:00,-7.1,-15.7,991,2.665,A,342
311,13/07/13 23:00,-5.7,-16.4,995,4.38,A,282
312,14/07/13 0:00,-5,-17.1,1005,9.175,A,225
313,14/07/13 1:00,-6.4,-17.9,1000,15.235,A,213
314,14/07/13 2:00,-5.7,-15,989,24.425,A,225
315,14/07/13 3:00,-6.4,-15,1000,30.7,A,219
316,14/07/13 4:00,-7.9,-18.6,1004,39.375,A,207
317,14/07/13 5:00,-8.6,-17.9,1008,46.9,A,201
318,14/07/13 6:00,-7.9,-17.9,1007,51.835,A,195
319,14/07/13 7:00,-8.6,-17.1,1006,57.395,A,192
320,14/07/13 8:00,-8.6,-15.7,1001,65.795,A,213
321,14/07/13 9:00,-8.6,-19.3,1007,69.965,A,225
322,14/07/13 10:00,-5.7,-19.3,997,75.135,A,198
323,14/07/13 11:00,-6.4,-18.6,1014,82.56,A,225
324,14/07/13 12:00,-6.4,-17.1,1006,89.96,A,207
325,14/07/13 13:00,-4.3,-16.4,1005,96.52,A,210
326,14/07/13 14:00,-6.4,-16.4,1002,100.415,A,213
327,14/07/13 15:00,-4.3,-17.1,1008,107.815,A,213
328,14/07/13 16:00,-4.3,-20,1005,116.755,A,195
329,14/07/13 17:00,-5.7,-19.3,1013,123.28,A,222
330,14/07/13 18:00,-5.7,-20,1014,130.18,A,195
331,14/07/13 19:00,-8.6,-22.1,998,139.37,A,207
332,14/07/13 20:00,-10,-19.3,1016,150.55,A,204
333,14/07/13 21:00,-10.7,-22.9,1012,159.365,A,186
334,14/07/13 22:00,-11.4,-23.6,1002,168.805,A,204
335,14/07/13 23:00,-10,-23.6,1019,175.58,A,201
336,15/07/13 0:00,-10,-22.9,1018,183.38,A,189
337,15/07/13 1:00,-10.7,-22.1,1007,191.43,A,213
338,15/07/13 2:00,-10.7,-22.1,1010,205.265,A,210
339,15/07/13 3:00,-11.4,-23.6,1009,215.695,A,192
340,15/07/13 4:00,-11.4,-24.3,1011,226.15,A,183
341,15/07/13 5:00,-12.1,-20.7,1001,234.59,A,195
342,15/07/13 6:00,-10.7,-20.7,1005,241.115,A,204
343,15/07/13 7:00,-10.7,-22.1,1002,249.165,A,207
344,15/07/13 8:00,-11.4,-24.3,1021,258.215,A,207
345,15/07/13 9:00,-10,-21.4,1008,264.99,A,210
346,15/07/13 10:00,-9.3,-20,1006,272.915,A,195
347,15/07/13 11:00,-9.3,-23.6,1012,281.465,A,204
348,15/07/13 12:00,-8.6,-22.1,1020,289.515,A,210
349,15/07/13 13:00,-7.9,-21.4,1011,298.455,A,192
350,15/07/13 14:00,-7.1,-22.1,1003,308.285,A,222
351,15/07/13 15:00,-6.4,-19.3,1010,315.585,A,207
352,15/07/13 16:00,-7.1,-19.3,1016,324.01,A,195
353,15/07/13 17:00,-7.1,-20.7,1017,331.16,A,210
354,15/07/13 18:00,-8.6,-19.3,1011,336.47,A,216
355,15/07/13 19:00,-8.6,-20.7,1010,340.725,A,216
356,15/07/13 20:00,-9.3,-20.7,1004,1.64,A,219
357,15/07/13 21:00,-9.3,-19.3,1003,2.54,A,195
358,15/07/13 22:00,-12.1,-22.9,1014,4.255,A,210
359,15/07/13 23:00,-10.7,-19.3,1017,3.755,A,243
360,16/07/13 0:00,-12.9,-20.7,1014,8.01,A,219
361,16/07/13 1:00,-10,-19.3,1007,10.265,A,222
362,16/07/13 2:00,-12.9,-20,1007,3.665,A,210
363,16/07/13 3:00,-12.9,-21.4,1006,3.88,A,210
364,16/07/13 4:00,-10.7,-20,1002,1.89,A,198
365,16/07/13 5:00,-13.6,-18.6,1006,3.165,A,204
366,16/07/13 6:00,-12.9,-22.1,1003,1.765,A,207
367,16/07/13 7:00,-13.6,-22.1,1007,3.305,A,198
368,16/07/13 8:00,-12.1,-22.1,1007,5.72,A,189
369,16/07/13 9:00,-11.4,-20,1005,8.85,A,210
370,16/07/13 10:00,-7.9,-19.3,1005,5.52,A,219
371,16/07/13 11:00,-6.4,-20,1005,5.52,A,213
372,16/07/13 12:00,-5.7,-17.1,1016,6.435,A,234
373,16/07/13 13:00,-5,-17.9,1009,1.765,A,243
374,16/07/13 14:00,-5.7,-19.3,1010,3.415,A,228
375,16/07/13 15:00,-4.3,-17.1,999,3.665,A,216
376,16/07/13 16:00,-7.1,-18.6,996,2.415,A,219
377,16/07/13 17:00,-6.4,-17.1,1012,2.665,A,249
378,16/07/13 18:00,-7.9,-16.4,1013,4.43,A,252
379,16/07/13 19:00,-7.9,-15.7,1005,2.14,A,288
380,16/07/13 20:00,-10,-17.1,1000,2.78,A,255
381,16/07/13 21:00,-8.6,-17.9,1013,3.73,A,273
382,16/07/13 22:00,-9.3,-17.1,1010,2.64,A,273
383,16/07/13 23:00,-13.6,-19.3,998,5.645,A,264
384,17/07/13 0:00,-10.7,-17.1,1004,6.935,A,324
385,17/07/13 1:00,-10,-16.4,1011,9.565,A,327
386,17/07/13 2:00,-12.1,-20.7,1004,13.71,A,348
387,17/07/13 3:00,-11.4,-20.7,1001,18.855,A,246
388,17/07/13 4:00,-11.4,-17.1,1004,22.875,A,240
389,17/07/13 5:00,-12.1,-20.7,1003,25.63,A,237
390,17/07/13 6:00,-10.7,-20.7,1010,29.01,A,213
391,17/07/13 7:00,-12.9,-18.6,1011,32.015,A,240
392,17/07/13 8:00,-12.1,-20,997,35.27,A,231
393,17/07/13 9:00,-9.3,-16.4,1016,38.79,A,222
394,17/07/13 10:00,-8.6,-16.4,1016,42.56,A,234
395,17/07/13 11:00,-7.1,-17.9,1014,50.46,A,210
396,17/07/13 12:00,-6.4,-17.9,1002,58.01,A,189
397,17/07/13 13:00,-5,-19.3,1003,65.285,A,225
398,17/07/13 14:00,-5.7,-17.9,1013,74.225,A,222
399,17/07/13 15:00,-4.3,-18.6,997,82.775,A,213
400,17/07/13 16:00,-5,-17.1,1013,89.7,A,213
401,17/07/13 17:00,-5,-15.7,997,96.725,A,216
402,17/07/13 18:00,-7.9,-18.6,1004,105.9,A,198
403,17/07/13 19:00,-5.7,-19.3,998,113.05,A,207
404,17/07/13 20:00,-7.1,-17.1,1012,117.595,A,222
405,17/07/13 21:00,-7.9,-17.1,998,121.115,A,201
406,17/07/13 22:00,-7.9,-19.3,1015,126.8,A,216
407,17/07/13 23:00,-10,-19.3,1011,131.72,A,210
408,18/07/13 0:00,-12.1,-17.1,1002,3.415,A,213
409,18/07/13 1:00,-10.7,-19.3,1004,4.895,A,186
410,18/07/13 2:00,-10,-17.9,1001,5.02,A,204
411,18/07/13 3:00,-10,-20.7,1003,5.27,A,189
412,18/07/13 4:00,-12.1,-19.3,996,10.19,A,204
413,18/07/13 5:00,-11.4,-20.7,996,15.485,A,204
414,18/07/13 6:00,-15,-20.7,995,18.365,A,207
415,18/07/13 7:00,-12.1,-20.7,995,22.76,A,204
416,18/07/13 8:00,-14.3,-19.3,1004,25.015,A,198
417,18/07/13 9:00,-10.7,-21.4,1015,29.16,A,237
418,18/07/13 10:00,-10,-18.6,1010,31.915,A,237
419,18/07/13 11:00,-7.1,-20.7,996,35.545,A,228
420,18/07/13 12:00,-7.9,-17.1,1004,43.595,A,228
421,18/07/13 13:00,-6.4,-18.6,1009,49.655,A,213
422,18/07/13 14:00,-7.1,-16.4,1001,54.2,A,192
423,18/07/13 15:00,-5,-20.7,1005,62.225,A,192
424,18/07/13 16:00,-6.4,-17.9,1003,69.25,A,204
425,18/07/13 17:00,-6.4,-19.3,995,74.06,A,222
426,18/07/13 18:00,-7.9,-20,995,80.495,A,189
427,18/07/13 19:00,-5.7,-20,997,85.805,A,201
428,18/07/13 20:00,-7.9,-17.9,995,90.325,A,201
429,18/07/13 21:00,-9.3,-18.6,1006,93.595,A,228
430,18/07/13 22:00,-9.3,-20,1011,95.385,A,198
431,18/07/13 23:00,-12.1,-17.9,1011,99.405,A,198
432,19/07/13 0:00,-9.3,-20.7,998,103.785,A,201
433,19/07/13 1:00,-11.4,-20,1009,104.7,A,231
434,19/07/13 2:00,-12.9,-18.6,1010,108.08,A,216
